extracao_timestamp,linha,id_linha,sentido,prefixo_onibus,timestamp_onibus,latitude,longitude,temperatura,umidade,clima_descricao
20260613_172405,8010-10,33566,2,16008,2026-06-13T20:23:48Z,-23.467176000000002,-46.7243235,20.13,84,nublado
20260613_172405,4017-10,34958,2,48827,2026-06-13T20:24:03Z,-23.582577,-46.408426,20.13,84,nublado
20260613_172405,4017-10,34958,2,48982,2026-06-13T20:23:49Z,-23.6006425,-46.3996595,20.13,84,nublado
20260613_172405,4017-10,34958,2,48984,2026-06-13T20:23:48Z,-23.6008165,-46.399510500000005,20.13,84,nublado
20260613_172405,4017-10,34958,2,48893,2026-06-13T20:23:30Z,-23.5859975,-46.381826000000004,20.13,84,nublado
20260613_172405,971R-10,614,1,21424,2026-06-13T20:23:47Z,-23.43866575,-46.729177750000005,20.13,84,nublado
20260613_172405,971R-10,614,1,21977,2026-06-13T20:23:34Z,-23.4883555,-46.651771499999995,20.13,84,nublado
20260613_172405,971R-10,614,1,21425,2026-06-13T20:23:41Z,-23.437200500000003,-46.711664999999996,20.13,84,nublado
20260613_172405,971R-10,614,1,21999,2026-06-13T20:24:01Z,-23.454421500000002,-46.7374495,20.13,84,nublado
20260613_172405,971R-10,614,1,21994,2026-06-13T20:23:35Z,-23.500283875,-46.627802,20.13,84,nublado
20260613_172405,971R-10,614,1,21426,2026-06-13T20:23:58Z,-23.498261499999998,-46.6397045,20.13,84,nublado
20260613_172405,971R-10,614,1,21429,2026-06-13T20:23:22Z,-23.454421500000002,-46.7374495,20.13,84,nublado
20260613_172405,971R-10,614,1,21990,2026-06-13T20:23:19Z,-23.47501225,-46.665508,20.13,84,nublado
20260613_172405,971R-10,614,1,21427,2026-06-13T20:23:44Z,-23.435938,-46.7146175,20.13,84,nublado
20260613_172405,971R-10,614,1,21975,2026-06-13T20:23:31Z,-23.4696875,-46.676925,20.13,84,nublado
20260613_172405,971R-10,614,1,21423,2026-06-13T20:23:40Z,-23.454421500000002,-46.7374495,20.13,84,nublado
20260613_172405,971R-10,614,1,21987,2026-06-13T20:23:24Z,-23.500266,-46.6352555,20.13,84,nublado
20260613_172405,971R-10,614,1,21984,2026-06-13T20:23:43Z,-23.449678499999997,-46.735027,20.13,84,nublado
20260613_172405,8700-10,34645,2,81370,2026-06-13T20:23:32Z,-23.58077,-46.711467,20.13,84,nublado
20260613_172405,8700-10,34645,2,81221,2026-06-13T20:23:53Z,-23.62694175,-46.766502,20.13,84,nublado
20260613_172405,8700-10,34645,2,81075,2026-06-13T20:23:55Z,-23.5707165,-46.690237499999995,20.13,84,nublado
20260613_172405,8700-10,34645,2,81372,2026-06-13T20:23:49Z,-23.5457705,-46.638588999999996,20.13,84,nublado
20260613_172405,8700-10,34645,2,81191,2026-06-13T20:23:24Z,-23.6082465,-46.751734,20.13,84,nublado
20260613_172405,8700-10,34645,2,81771,2026-06-13T20:23:50Z,-23.54262575,-46.640550625,20.13,84,nublado
20260613_172405,8700-10,34645,2,81209,2026-06-13T20:22:56Z,-23.564365000000002,-46.6782645,20.13,84,nublado
20260613_172405,8700-10,34645,2,81088,2026-06-13T20:23:47Z,-23.631026499999997,-46.773642,20.13,84,nublado
20260613_172405,8700-10,34645,2,81207,2026-06-13T20:24:00Z,-23.6222055,-46.760129500000005,20.13,84,nublado
20260613_172405,8700-10,34645,2,81764,2026-06-13T20:23:45Z,-23.6233355,-46.763734,20.13,84,nublado
20260613_172405,8700-10,34645,2,81195,2026-06-13T20:23:51Z,-23.6310935,-46.773485,20.13,84,nublado
20260613_172405,8700-10,34645,2,81201,2026-06-13T20:23:30Z,-23.631026499999997,-46.773642,20.13,84,nublado
20260613_172405,8700-10,34645,2,81071,2026-06-13T20:23:35Z,-23.608877,-46.7519055,20.13,84,nublado
20260613_172405,5119-10,32769,2,71660,2026-06-13T20:23:45Z,-23.6441005,-46.7345045,20.13,84,nublado
20260613_172405,5119-10,32769,2,71753,2026-06-13T20:23:54Z,-23.643456999999998,-46.7356385,20.13,84,nublado
